target_id,intended_target_gene_id,intended_target_entrez_gene_id,intended_target_official_full_name,intended_target_gene_name,intended_target_official_symbol,intended_target_gene_symbol,intended_target_description,intended_target_uniprot_accession_number,intended_target_organism_id,intended_target_track_status,technological_target_gene_id,technological_target_entrez_gene_id,technological_target_official_full_name,technological_target_gene_name,technological_target_official_symbol,technological_target_gene_symbol,technological_target_description,technological_target_uniprot_accession_number,technological_target_organism_id,technological_target_track_status
22,366,10488,cAMP responsive element binding protein 3,cAMP responsive element binding protein 3,CREB3,CREB3,\N,O43889,1,live,366,10488,cAMP responsive element binding protein 3,cAMP responsive element binding protein 3,CREB3,CREB3,\N,O43889,1,live
23,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,366,10488,cAMP responsive element binding protein 3,cAMP responsive element binding protein 3,CREB3,CREB3,\N,O43889,1,live
24,363,10062,"nuclear receptor subfamily 1, group H, member 3","nuclear receptor subfamily 1, group H, member 3",NR1H3,NR1H3,\N,Q13133,1,live,363,10062,"nuclear receptor subfamily 1, group H, member 3","nuclear receptor subfamily 1, group H, member 3",NR1H3,NR1H3,\N,Q13133,1,live
25,332,7376,"nuclear receptor subfamily 1, group H, member 2","nuclear receptor subfamily 1, group H, member 2",NR1H2,NR1H2,\N,P55055,1,live,332,7376,"nuclear receptor subfamily 1, group H, member 2","nuclear receptor subfamily 1, group H, member 2",NR1H2,NR1H2,\N,P55055,1,live
26,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,363,10062,"nuclear receptor subfamily 1, group H, member 3","nuclear receptor subfamily 1, group H, member 3",NR1H3,NR1H3,\N,Q13133,1,live
27,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,332,7376,"nuclear receptor subfamily 1, group H, member 2","nuclear receptor subfamily 1, group H, member 2",NR1H2,NR1H2,\N,P55055,1,live
28,279,5914,"retinoic acid receptor, alpha","retinoic acid receptor, alpha",RARA,RARA,\N,P10276,1,live,279,5914,"retinoic acid receptor, alpha","retinoic acid receptor, alpha",RARA,RARA,\N,P10276,1,live
29,280,5915,"retinoic acid receptor, beta","retinoic acid receptor, beta",RARB,RARB,\N,P10826,1,live,280,5915,"retinoic acid receptor, beta","retinoic acid receptor, beta",RARB,RARB,\N,P10826,1,live
30,281,5916,"retinoic acid receptor, gamma","retinoic acid receptor, gamma",RARG,RARG,\N,P13631,1,live,281,5916,"retinoic acid receptor, gamma","retinoic acid receptor, gamma",RARG,RARG,\N,P13631,1,live
31,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,279,5914,"retinoic acid receptor, alpha","retinoic acid receptor, alpha",RARA,RARA,\N,P10276,1,live
32,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,280,5915,"retinoic acid receptor, beta","retinoic acid receptor, beta",RARB,RARB,\N,P10826,1,live
33,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,281,5916,"retinoic acid receptor, gamma","retinoic acid receptor, gamma",RARG,RARG,\N,P13631,1,live
34,333,7391,upstream transcription factor 1,upstream transcription factor 1,USF1,USF1,\N,P22415,1,live,333,7391,upstream transcription factor 1,upstream transcription factor 1,USF1,USF1,\N,P22415,1,live
35,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,333,7391,upstream transcription factor 1,upstream transcription factor 1,USF1,USF1,\N,P22415,1,live
36,104,1869,E2F transcription factor 1,E2F transcription factor 1,E2F1,E2F1,\N,Q01094,1,live,104,1869,E2F transcription factor 1,E2F transcription factor 1,E2F1,E2F1,\N,Q01094,1,live
37,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,104,1869,E2F transcription factor 1,E2F transcription factor 1,E2F1,E2F1,\N,Q01094,1,live
38,109,1958,early growth response 1,early growth response 1,EGR1,EGR1,\N,P18146,1,live,109,1958,early growth response 1,early growth response 1,EGR1,EGR1,\N,P18146,1,live
39,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,109,1958,early growth response 1,early growth response 1,EGR1,EGR1,\N,P18146,1,live
40,117,2099,estrogen receptor 1,estrogen receptor 1,ESR1,ESR1,\N,P03372,1,live,117,2099,estrogen receptor 1,estrogen receptor 1,ESR1,ESR1,\N,P03372,1,live
41,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,117,2099,estrogen receptor 1,estrogen receptor 1,ESR1,ESR1,\N,P03372,1,live
42,122,2113,v-ets avian erythroblastosis virus E26 oncogene homolog 1,v-ets avian erythroblastosis virus E26 oncogene homolog 1,ETS1,ETS1,\N,P14921,1,live,122,2113,v-ets avian erythroblastosis virus E26 oncogene homolog 1,v-ets avian erythroblastosis virus E26 oncogene homolog 1,ETS1,ETS1,\N,P14921,1,live
43,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,122,2113,v-ets avian erythroblastosis virus E26 oncogene homolog 1,v-ets avian erythroblastosis virus E26 oncogene homolog 1,ETS1,ETS1,\N,P14921,1,live
44,156,3170,forkhead box A2,forkhead box A2,FOXA2,FOXA2,\N,Q9Y261,1,live,156,3170,forkhead box A2,forkhead box A2,FOXA2,FOXA2,\N,Q9Y261,1,live
45,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,156,3170,forkhead box A2,forkhead box A2,FOXA2,FOXA2,\N,Q9Y261,1,live
46,129,2308,forkhead box O1,forkhead box O1,FOXO1,FOXO1,\N,Q12778,1,live,129,2308,forkhead box O1,forkhead box O1,FOXO1,FOXO1,\N,Q12778,1,live
47,130,2309,forkhead box O3,forkhead box O3,FOXO3,FOXO3,\N,O43524,1,live,130,2309,forkhead box O3,forkhead box O3,FOXO3,FOXO3,\N,O43524,1,live
48,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,129,2308,forkhead box O1,forkhead box O1,FOXO1,FOXO1,\N,Q12778,1,live
49,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,130,2309,forkhead box O3,forkhead box O3,FOXO3,FOXO3,\N,O43524,1,live
50,139,2623,GATA binding protein 1 (globin transcription factor 1),GATA binding protein 1 (globin transcription factor 1),GATA1,GATA1,\N,P15976,1,live,139,2623,GATA binding protein 1 (globin transcription factor 1),GATA binding protein 1 (globin transcription factor 1),GATA1,GATA1,\N,P15976,1,live
51,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,139,2623,GATA binding protein 1 (globin transcription factor 1),GATA binding protein 1 (globin transcription factor 1),GATA1,GATA1,\N,P15976,1,live
52,144,2735,GLI family zinc finger 1,GLI family zinc finger 1,GLI1,GLI1,\N,P08151,1,live,144,2735,GLI family zinc finger 1,GLI family zinc finger 1,GLI1,GLI1,\N,P08151,1,live
53,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,144,2735,GLI family zinc finger 1,GLI family zinc finger 1,GLI1,GLI1,\N,P08151,1,live
54,145,2908,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)","nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",NR3C1,NR3C1,\N,P04150,1,live,145,2908,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)","nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",NR3C1,NR3C1,\N,P04150,1,live
55,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,145,2908,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)","nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",NR3C1,NR3C1,\N,P04150,1,live
56,152,3091,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)","hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",HIF1A,HIF1A,\N,Q16665,1,live,152,3091,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)","hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",HIF1A,HIF1A,\N,Q16665,1,live
57,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,152,3091,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)","hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",HIF1A,HIF1A,\N,Q16665,1,live
58,159,3175,one cut homeobox 1,one cut homeobox 1,ONECUT1,ONECUT1,\N,Q9UBC0,1,live,159,3175,one cut homeobox 1,one cut homeobox 1,ONECUT1,ONECUT1,\N,Q9UBC0,1,live
59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,159,3175,one cut homeobox 1,one cut homeobox 1,ONECUT1,ONECUT1,\N,Q9UBC0,1,live
60,161,3297,heat shock transcription factor 1,heat shock transcription factor 1,HSF1,HSF1,\N,Q00613,1,live,161,3297,heat shock transcription factor 1,heat shock transcription factor 1,HSF1,HSF1,\N,Q00613,1,live
61,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,161,3297,heat shock transcription factor 1,heat shock transcription factor 1,HSF1,HSF1,\N,Q00613,1,live
62,357,9971,"nuclear receptor subfamily 1, group H, member 4","nuclear receptor subfamily 1, group H, member 4",NR1H4,NR1H4,\N,Q96RI1,1,live,357,9971,"nuclear receptor subfamily 1, group H, member 4","nuclear receptor subfamily 1, group H, member 4",NR1H4,NR1H4,\N,Q96RI1,1,live
63,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,357,9971,"nuclear receptor subfamily 1, group H, member 4","nuclear receptor subfamily 1, group H, member 4",NR1H4,NR1H4,\N,Q96RI1,1,live
64,180,3659,interferon regulatory factor 1,interferon regulatory factor 1,IRF1,IRF1,\N,P10914,1,live,180,3659,interferon regulatory factor 1,interferon regulatory factor 1,IRF1,IRF1,\N,P10914,1,live
65,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,180,3659,interferon regulatory factor 1,interferon regulatory factor 1,IRF1,IRF1,\N,P10914,1,live
66,211,4520,metal-regulatory transcription factor 1,metal-regulatory transcription factor 1,MTF1,MTF1,\N,Q14872,1,live,211,4520,metal-regulatory transcription factor 1,metal-regulatory transcription factor 1,MTF1,MTF1,\N,Q14872,1,live
67,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,211,4520,metal-regulatory transcription factor 1,metal-regulatory transcription factor 1,MTF1,MTF1,\N,Q14872,1,live
68,212,4602,v-myb avian myeloblastosis viral oncogene homolog,v-myb avian myeloblastosis viral oncogene homolog,MYB,MYB,\N,P10242,1,live,212,4602,v-myb avian myeloblastosis viral oncogene homolog,v-myb avian myeloblastosis viral oncogene homolog,MYB,MYB,\N,P10242,1,live
69,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,212,4602,v-myb avian myeloblastosis viral oncogene homolog,v-myb avian myeloblastosis viral oncogene homolog,MYB,MYB,\N,P10242,1,live
70,213,4609,v-myc avian myelocytomatosis viral oncogene homolog,v-myc avian myelocytomatosis viral oncogene homolog,MYC,MYC,\N,P01106,1,live,213,4609,v-myc avian myelocytomatosis viral oncogene homolog,v-myc avian myelocytomatosis viral oncogene homolog,MYC,MYC,\N,P01106,1,live
71,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,213,4609,v-myc avian myelocytomatosis viral oncogene homolog,v-myc avian myelocytomatosis viral oncogene homolog,MYC,MYC,\N,P01106,1,live
72,218,4790,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,NFKB1,NFKB1,\N,P19838,1,live,218,4790,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,NFKB1,NFKB1,\N,P19838,1,live
73,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,218,4790,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,NFKB1,NFKB1,\N,P19838,1,live
74,216,4774,nuclear factor I/A,nuclear factor I/A,NFIA,NFIA,\N,Q12857,1,live,216,4774,nuclear factor I/A,nuclear factor I/A,NFIA,NFIA,\N,Q12857,1,live
75,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,216,4774,nuclear factor I/A,nuclear factor I/A,NFIA,NFIA,\N,Q12857,1,live
76,221,4899,nuclear respiratory factor 1,nuclear respiratory factor 1,NRF1,NRF1,\N,Q16656,1,live,221,4899,nuclear respiratory factor 1,nuclear respiratory factor 1,NRF1,NRF1,\N,Q16656,1,live
77,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,221,4899,nuclear respiratory factor 1,nuclear respiratory factor 1,NRF1,NRF1,\N,Q16656,1,live
78,217,4780,"nuclear factor, erythroid 2-like 2","nuclear factor, erythroid 2-like 2",NFE2L2,NFE2L2,\N,Q16236,1,live,217,4780,"nuclear factor, erythroid 2-like 2","nuclear factor, erythroid 2-like 2",NFE2L2,NFE2L2,\N,Q16236,1,live
79,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,217,4780,"nuclear factor, erythroid 2-like 2","nuclear factor, erythroid 2-like 2",NFE2L2,NFE2L2,\N,Q16236,1,live
80,245,5451,POU class 2 homeobox 1,POU class 2 homeobox 1,POU2F1,POU2F1,\N,P14859,1,live,245,5451,POU class 2 homeobox 1,POU class 2 homeobox 1,POU2F1,POU2F1,\N,P14859,1,live
81,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,245,5451,POU class 2 homeobox 1,POU class 2 homeobox 1,POU2F1,POU2F1,\N,P14859,1,live
82,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,329,7157,tumor protein p53,tumor protein p53,TP53,TP53,\N,P04637,1,live
83,231,5080,paired box 6,paired box 6,PAX6,PAX6,\N,P26367,1,live,231,5080,paired box 6,paired box 6,PAX6,PAX6,\N,P26367,1,live
84,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,231,5080,paired box 6,paired box 6,PAX6,PAX6,\N,P26367,1,live
85,356,9970,"nuclear receptor subfamily 1, group I, member 3","nuclear receptor subfamily 1, group I, member 3",NR1I3,NR1I3,\N,Q14994,1,live,356,9970,"nuclear receptor subfamily 1, group I, member 3","nuclear receptor subfamily 1, group I, member 3",NR1I3,NR1I3,\N,Q14994,1,live
86,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,356,9970,"nuclear receptor subfamily 1, group I, member 3","nuclear receptor subfamily 1, group I, member 3",NR1I3,NR1I3,\N,Q14994,1,live
87,248,5465,peroxisome proliferator-activated receptor alpha,peroxisome proliferator-activated receptor alpha,PPARA,PPARA,\N,Q07869,1,live,248,5465,peroxisome proliferator-activated receptor alpha,peroxisome proliferator-activated receptor alpha,PPARA,PPARA,\N,Q07869,1,live
88,249,5467,peroxisome proliferator-activated receptor delta,peroxisome proliferator-activated receptor delta,PPARD,PPARD,\N,Q03181,1,live,249,5467,peroxisome proliferator-activated receptor delta,peroxisome proliferator-activated receptor delta,PPARD,PPARD,\N,Q03181,1,live
89,250,5468,peroxisome proliferator-activated receptor gamma,peroxisome proliferator-activated receptor gamma,PPARG,PPARG,\N,P37231,1,live,250,5468,peroxisome proliferator-activated receptor gamma,peroxisome proliferator-activated receptor gamma,PPARG,PPARG,\N,P37231,1,live
90,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,248,5465,peroxisome proliferator-activated receptor alpha,peroxisome proliferator-activated receptor alpha,PPARA,PPARA,\N,Q07869,1,live
91,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,249,5467,peroxisome proliferator-activated receptor delta,peroxisome proliferator-activated receptor delta,PPARD,PPARD,\N,Q03181,1,live
92,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,250,5468,peroxisome proliferator-activated receptor gamma,peroxisome proliferator-activated receptor gamma,PPARG,PPARG,\N,P37231,1,live
93,350,8856,"nuclear receptor subfamily 1, group I, member 2","nuclear receptor subfamily 1, group I, member 2",NR1I2,NR1I2,\N,O75469,1,live,350,8856,"nuclear receptor subfamily 1, group I, member 2","nuclear receptor subfamily 1, group I, member 2",NR1I2,NR1I2,\N,O75469,1,live
94,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,350,8856,"nuclear receptor subfamily 1, group I, member 2","nuclear receptor subfamily 1, group I, member 2",NR1I2,NR1I2,\N,O75469,1,live
95,284,6095,RAR-related orphan receptor A,RAR-related orphan receptor A,RORA,RORA,\N,P35398,1,live,284,6095,RAR-related orphan receptor A,RAR-related orphan receptor A,RORA,RORA,\N,P35398,1,live
96,285,6096,RAR-related orphan receptor B,RAR-related orphan receptor B,RORB,RORB,\N,Q92753,1,live,285,6096,RAR-related orphan receptor B,RAR-related orphan receptor B,RORB,RORB,\N,Q92753,1,live
97,286,6097,RAR-related orphan receptor C,RAR-related orphan receptor C,RORC,RORC,\N,P51449,1,live,286,6097,RAR-related orphan receptor C,RAR-related orphan receptor C,RORC,RORC,\N,P51449,1,live
98,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,284,6095,RAR-related orphan receptor A,RAR-related orphan receptor A,RORA,RORA,\N,P35398,1,live
99,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,285,6096,RAR-related orphan receptor B,RAR-related orphan receptor B,RORB,RORB,\N,Q92753,1,live
100,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,286,6097,RAR-related orphan receptor C,RAR-related orphan receptor C,RORC,RORC,\N,P51449,1,live
101,301,6656,SRY (sex determining region Y)-box 1,SRY (sex determining region Y)-box 1,SOX1,SOX1,\N,O00570,1,live,301,6656,SRY (sex determining region Y)-box 1,SRY (sex determining region Y)-box 1,SOX1,SOX1,\N,O00570,1,live
102,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,301,6656,SRY (sex determining region Y)-box 1,SRY (sex determining region Y)-box 1,SOX1,SOX1,\N,O00570,1,live
103,302,6667,Sp1 transcription factor,Sp1 transcription factor,SP1,SP1,\N,P08047,1,live,302,6667,Sp1 transcription factor,Sp1 transcription factor,SP1,SP1,\N,P08047,1,live
104,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,302,6667,Sp1 transcription factor,Sp1 transcription factor,SP1,SP1,\N,P08047,1,live
105,304,6720,sterol regulatory element binding transcription factor 1,sterol regulatory element binding transcription factor 1,SREBF1,SREBF1,\N,P36956,1,live,304,6720,sterol regulatory element binding transcription factor 1,sterol regulatory element binding transcription factor 1,SREBF1,SREBF1,\N,P36956,1,live
106,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,304,6720,sterol regulatory element binding transcription factor 1,sterol regulatory element binding transcription factor 1,SREBF1,SREBF1,\N,P36956,1,live
107,305,6774,signal transducer and activator of transcription 3 (acute-phase response factor),signal transducer and activator of transcription 3 (acute-phase response factor),STAT3,STAT3,\N,P40763,1,live,305,6774,signal transducer and activator of transcription 3 (acute-phase response factor),signal transducer and activator of transcription 3 (acute-phase response factor),STAT3,STAT3,\N,P40763,1,live
108,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,305,6774,signal transducer and activator of transcription 3 (acute-phase response factor),signal transducer and activator of transcription 3 (acute-phase response factor),STAT3,STAT3,\N,P40763,1,live
109,426,51176,lymphoid enhancer-binding factor 1,lymphoid enhancer-binding factor 1,LEF1,LEF1,\N,Q9UJU2,1,live,426,51176,lymphoid enhancer-binding factor 1,lymphoid enhancer-binding factor 1,LEF1,LEF1,\N,Q9UJU2,1,live
110,311,6932,"transcription factor 7 (T-cell specific, HMG-box)","transcription factor 7 (T-cell specific, HMG-box)",TCF7,TCF7,\N,P36402,1,live,311,6932,"transcription factor 7 (T-cell specific, HMG-box)","transcription factor 7 (T-cell specific, HMG-box)",TCF7,TCF7,\N,P36402,1,live
111,438,83439,"transcription factor 7-like 1 (T-cell specific, HMG-box)","transcription factor 7-like 1 (T-cell specific, HMG-box)",TCF7L1,TCF7L1,\N,Q9HCS4,1,live,438,83439,"transcription factor 7-like 1 (T-cell specific, HMG-box)","transcription factor 7-like 1 (T-cell specific, HMG-box)",TCF7L1,TCF7L1,\N,Q9HCS4,1,live
112,312,6934,"transcription factor 7-like 2 (T-cell specific, HMG-box)","transcription factor 7-like 2 (T-cell specific, HMG-box)",TCF7L2,TCF7L2,\N,Q9NQB0,1,live,312,6934,"transcription factor 7-like 2 (T-cell specific, HMG-box)","transcription factor 7-like 2 (T-cell specific, HMG-box)",TCF7L2,TCF7L2,\N,Q9NQB0,1,live
113,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,426,51176,lymphoid enhancer-binding factor 1,lymphoid enhancer-binding factor 1,LEF1,LEF1,\N,Q9UJU2,1,live
114,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,311,6932,"transcription factor 7 (T-cell specific, HMG-box)","transcription factor 7 (T-cell specific, HMG-box)",TCF7,TCF7,\N,P36402,1,live
115,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,438,83439,"transcription factor 7-like 1 (T-cell specific, HMG-box)","transcription factor 7-like 1 (T-cell specific, HMG-box)",TCF7L1,TCF7L1,\N,Q9HCS4,1,live
116,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,312,6934,"transcription factor 7-like 2 (T-cell specific, HMG-box)","transcription factor 7-like 2 (T-cell specific, HMG-box)",TCF7L2,TCF7L2,\N,Q9NQB0,1,live
117,319,7040,"transforming growth factor, beta 1","transforming growth factor, beta 1",TGFB1,TGFB1,\N,P01137,1,live,319,7040,"transforming growth factor, beta 1","transforming growth factor, beta 1",TGFB1,TGFB1,\N,P01137,1,live
118,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,319,7040,"transforming growth factor, beta 1","transforming growth factor, beta 1",TGFB1,TGFB1,\N,P01137,1,live
119,335,7421,"vitamin D (1,25- dihydroxyvitamin D3) receptor","vitamin D (1,25- dihydroxyvitamin D3) receptor",VDR,VDR,\N,P11473,1,live,335,7421,"vitamin D (1,25- dihydroxyvitamin D3) receptor","vitamin D (1,25- dihydroxyvitamin D3) receptor",VDR,VDR,\N,P11473,1,live
120,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,335,7421,"vitamin D (1,25- dihydroxyvitamin D3) receptor","vitamin D (1,25- dihydroxyvitamin D3) receptor",VDR,VDR,\N,P11473,1,live
121,337,7494,X-box binding protein 1,X-box binding protein 1,XBP1,XBP1,\N,P17861,1,live,337,7494,X-box binding protein 1,X-box binding protein 1,XBP1,XBP1,\N,P17861,1,live
122,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,337,7494,X-box binding protein 1,X-box binding protein 1,XBP1,XBP1,\N,P17861,1,live
123,27,367,androgen receptor,androgen receptor,AR,AR,\N,P10275,1,live,27,367,androgen receptor,androgen receptor,AR,AR,\N,P10275,1,live
124,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,27,367,androgen receptor,androgen receptor,AR,AR,\N,P10275,1,live
